PointsPerGame,PointsAgainstPerGame,Off1stDownsPerGame,1stDownsGivenPerGame,OffTotalYardsPerGame,YardsGivenUpPerGame,OffPassYardsPerGame,PassYardsGivenUpPerGame,OffRushYardsPerGame,RushYardsGivenUpPerGame,OffTurnoversPerGame,TurnoversCausedPerGame,MadePlayoffs
25.375,18.25,22.625,21.25,366.75,331.125,226.125,216.375,140.625,114.75,1.125,1.25,0
21.666666666666668,27.88888888888889,19.333333333333332,23.666666666666668,344.44444444444446,407.55555555555554,223.88888888888889,280.6666666666667,120.55555555555556,126.88888888888889,0.4444444444444444,0.7777777777777778,0
13.75,24.875,13.75,22.25,233.25,367.75,165.75,224.625,67.5,143.125,2.125,1.5,0
27.0,27.88888888888889,24.22222222222222,22.88888888888889,396.77777777777777,410.0,290.0,310.3333333333333,106.77777777777777,99.66666666666667,0.8888888888888888,1.1111111111111112,0
20.625,31.25,24.0,22.875,385.25,379.5,316.75,261.125,68.5,118.375,1.875,0.5,0
28.5,28.25,22.875,25.0,412.25,412.75,320.125,304.25,92.125,108.5,0.625,1.0,0
28.375,17.75,19.75,20.125,347.0,324.875,176.875,223.125,170.125,101.75,1.25,1.75,1
31.375,22.0,24.75,19.25,427.0,348.75,222.125,265.75,204.875,83.0,1.125,1.375,1
23.666666666666668,17.77777777777778,23.22222222222222,18.666666666666668,366.55555555555554,305.0,273.8888888888889,205.22222222222223,92.66666666666667,99.77777777777777,1.2222222222222223,0.7777777777777778,1
26.88888888888889,25.88888888888889,24.0,22.88888888888889,377.3333333333333,364.8888888888889,277.0,239.0,100.33333333333333,125.88888888888889,1.2222222222222223,1.5555555555555556,1
19.75,16.375,20.5,17.125,336.0,296.25,206.625,184.625,129.375,111.625,1.5,1.375,1
10.666666666666666,26.77777777777778,15.222222222222221,19.444444444444443,248.33333333333334,313.6666666666667,151.0,212.0,97.33333333333333,101.66666666666667,2.4444444444444446,1.4444444444444444,0
23.333333333333332,25.11111111111111,22.555555555555557,23.444444444444443,369.22222222222223,361.77777777777777,259.3333333333333,246.77777777777777,109.88888888888889,115.0,1.0,1.3333333333333333,0
26.125,25.5,19.25,22.0,339.75,360.375,206.875,227.0,132.875,133.375,1.625,2.375,0
27.5,22.5,22.0,20.625,371.625,344.75,227.75,250.625,143.875,94.125,0.875,1.875,0
19.77777777777778,21.11111111111111,19.77777777777778,20.666666666666668,317.77777777777777,335.1111111111111,235.44444444444446,218.22222222222223,82.33333333333333,116.88888888888889,1.3333333333333333,1.0,1
17.75,18.0,17.375,20.75,266.75,323.625,186.25,230.125,80.5,93.5,1.125,1.375,0
29.375,19.125,21.5,17.5,358.625,321.375,230.25,236.375,128.375,85.0,1.375,2.625,1
24.25,26.75,24.125,23.0,361.875,400.5,260.625,256.625,101.25,143.875,1.25,1.125,0
15.5,26.25,19.125,22.125,317.25,435.75,257.75,258.125,59.5,177.625,1.875,0.75,0
27.625,29.625,21.25,25.625,344.25,447.75,251.5,319.375,92.75,128.375,1.125,1.625,0
25.75,29.625,20.75,24.375,346.75,371.375,196.75,264.625,150.0,106.75,1.25,1.75,1
19.0,25.625,17.625,20.125,346.0,357.5,225.0,216.25,121.0,141.25,2.125,1.125,0
21.11111111111111,27.444444444444443,19.666666666666668,24.333333333333332,347.44444444444446,423.8888888888889,222.88888888888889,285.0,124.55555555555556,138.88888888888889,1.3333333333333333,2.5555555555555554,0
22.666666666666668,32.22222222222222,25.11111111111111,22.444444444444443,395.0,381.55555555555554,285.0,224.55555555555554,110.0,157.0,2.2222222222222223,0.7777777777777778,0
28.375,17.75,24.5,19.875,436.75,318.125,287.5,220.875,149.25,97.25,1.375,1.5,0
19.25,18.875,18.5,18.375,317.125,317.0,188.375,217.125,128.75,99.875,1.25,1.0,1
21.75,27.125,19.375,20.25,336.625,360.375,225.0,240.875,111.625,119.5,2.0,1.125,0
16.555555555555557,18.88888888888889,17.666666666666668,18.11111111111111,311.44444444444446,309.6666666666667,199.55555555555554,202.11111111111111,111.88888888888889,107.55555555555556,1.1111111111111112,0.7777777777777778,0
22.77777777777778,23.666666666666668,21.0,18.77777777777778,377.1111111111111,364.0,250.44444444444446,232.44444444444446,126.66666666666667,131.55555555555554,1.3333333333333333,1.3333333333333333,0
24.625,30.0,22.5,24.875,359.0,392.0,257.875,243.875,101.125,148.125,1.125,0.875,0
25.5,27.125,21.125,24.5,391.25,424.125,295.25,288.375,96.0,135.75,1.375,1.5,0
22.5,26.25,21.125,20.625,352.875,357.125,248.625,214.625,104.25,142.5,1.375,1.0,0
31.625,25.5,22.875,20.875,395.875,345.375,269.25,234.375,126.625,111.0,0.375,0.75,1
25.11111111111111,21.0,20.22222222222222,20.666666666666668,352.44444444444446,382.8888888888889,257.1111111111111,255.22222222222223,95.33333333333333,127.66666666666667,0.7777777777777778,1.5555555555555556,1
24.0,25.5,21.875,20.0,406.5,352.375,300.875,232.75,105.625,119.625,1.25,1.125,0
24.125,30.25,20.0,24.625,368.375,415.75,280.75,256.25,87.625,159.5,1.125,0.625,0
26.444444444444443,21.22222222222222,23.77777777777778,20.333333333333332,396.6666666666667,361.44444444444446,253.88888888888889,277.3333333333333,142.77777777777777,84.11111111111111,1.2222222222222223,1.5555555555555556,1
24.0,20.444444444444443,20.22222222222222,18.333333333333332,369.1111111111111,336.3333333333333,248.88888888888889,243.44444444444446,120.22222222222223,92.88888888888889,1.2222222222222223,1.6666666666666667,1
26.0,20.0,21.75,17.875,360.5,290.0,258.125,206.375,102.375,83.625,1.125,1.625,1
22.75,22.125,22.875,20.75,343.625,339.875,213.875,231.25,129.75,108.625,1.25,1.125,0
28.875,26.625,22.875,21.625,381.5,371.375,263.875,261.5,117.625,109.875,1.625,2.0,1
22.375,30.875,21.125,24.75,350.5,418.125,251.625,280.0,98.875,138.125,1.375,0.875,0
19.555555555555557,21.0,19.333333333333332,19.77777777777778,377.1111111111111,350.0,247.55555555555554,229.77777777777777,129.55555555555554,120.22222222222223,1.3333333333333333,1.1111111111111112,0
16.75,21.25,18.625,18.0,352.5,313.25,257.5,190.0,95.0,123.25,2.25,0.875,0
31.77777777777778,20.333333333333332,23.666666666666668,21.666666666666668,409.0,354.1111111111111,294.6666666666667,215.66666666666666,114.33333333333333,138.44444444444446,0.6666666666666666,1.5555555555555556,1
28.0,22.666666666666668,21.555555555555557,23.11111111111111,390.77777777777777,369.3333333333333,300.6666666666667,229.77777777777777,90.11111111111111,139.55555555555554,1.0,1.2222222222222223,1
36.333333333333336,25.11111111111111,24.444444444444443,26.22222222222222,433.44444444444446,427.44444444444446,315.8888888888889,302.6666666666667,117.55555555555556,124.77777777777777,0.8888888888888888,1.4444444444444444,1
27.25,28.625,22.25,23.0,371.625,385.625,240.375,267.125,131.25,118.5,1.125,0.625,0
22.75,27.0,20.25,22.375,381.625,390.0,245.25,297.5,136.375,92.5,1.0,0.875,0
17.625,31.5,19.375,20.125,353.75,407.125,258.75,262.625,95.0,144.5,1.5,0.75,0
25.625,27.0,23.75,19.375,420.0,358.5,284.375,240.25,135.625,118.25,1.25,0.875,0
20.333333333333332,18.666666666666668,21.444444444444443,18.666666666666668,360.77777777777777,322.77777777777777,281.3333333333333,208.66666666666666,79.44444444444444,114.11111111111111,1.4444444444444444,1.1111111111111112,0
27.5,22.5,20.75,21.375,399.25,361.5,270.375,249.125,128.875,112.375,0.75,1.5,1
27.75,20.125,21.0,23.625,322.875,384.25,225.75,252.5,97.125,131.75,1.125,1.75,0
12.875,32.0,17.0,22.25,262.25,402.375,198.5,251.625,63.75,150.75,2.125,0.5,0
20.77777777777778,25.0,16.0,20.77777777777778,315.77777777777777,394.0,212.66666666666666,257.8888888888889,103.11111111111111,136.11111111111111,1.4444444444444444,2.0,0
27.125,29.25,21.875,24.25,382.0,412.875,221.625,287.875,160.375,125.0,1.5,1.125,0
26.0,17.555555555555557,21.11111111111111,19.444444444444443,386.6666666666667,320.8888888888889,233.66666666666666,225.11111111111111,153.0,95.77777777777777,1.1111111111111112,1.5555555555555556,1
24.555555555555557,22.666666666666668,20.77777777777778,19.22222222222222,374.3333333333333,322.22222222222223,282.6666666666667,233.33333333333334,91.66666666666667,88.88888888888889,1.4444444444444444,1.5555555555555556,0
20.75,24.25,23.125,20.5,361.875,352.875,202.25,221.875,159.625,131.0,1.875,1.75,0
30.0,10.88888888888889,21.77777777777778,14.333333333333334,366.77777777777777,249.33333333333334,273.8888888888889,150.22222222222223,92.88888888888889,99.11111111111111,1.1111111111111112,3.0,1
30.0,22.444444444444443,23.0,21.666666666666668,387.55555555555554,381.0,271.44444444444446,274.22222222222223,116.11111111111111,106.77777777777777,1.4444444444444444,1.8888888888888888,1
30.5,25.0,24.125,20.125,390.125,311.625,268.5,231.375,121.625,80.25,0.875,1.125,1
24.375,19.5,21.0,17.375,375.25,316.5,261.0,232.25,114.25,84.25,0.75,1.125,1
34.875,27.25,25.25,22.625,402.0,387.75,289.875,311.375,112.125,76.375,1.0,1.0,1
18.666666666666668,24.333333333333332,19.22222222222222,22.444444444444443,298.22222222222223,360.0,192.22222222222223,265.22222222222223,106.0,94.77777777777777,1.6666666666666667,1.6666666666666667,0
19.555555555555557,28.333333333333332,20.0,20.77777777777778,326.77777777777777,391.44444444444446,224.66666666666666,263.55555555555554,102.11111111111111,127.88888888888889,2.4444444444444446,1.3333333333333333,0
18.75,25.625,18.625,20.625,353.25,366.375,275.375,244.0,77.875,122.375,1.375,0.875,0
13.444444444444445,29.77777777777778,16.333333333333332,24.11111111111111,266.0,402.6666666666667,167.11111111111111,281.77777777777777,98.88888888888889,120.88888888888889,1.1111111111111112,1.1111111111111112,0
12.0,26.375,13.625,21.0,223.5,352.25,157.25,263.0,66.25,89.25,2.125,1.25,0
22.0,23.666666666666668,15.777777777777779,19.444444444444443,310.55555555555554,351.6666666666667,200.55555555555554,242.44444444444446,110.0,109.22222222222223,2.2222222222222223,1.6666666666666667,0
23.25,25.625,21.625,22.125,329.625,340.125,211.375,209.375,118.25,130.75,2.125,1.25,0
24.88888888888889,23.666666666666668,20.555555555555557,18.333333333333332,347.0,326.3333333333333,219.66666666666666,239.0,127.33333333333333,87.33333333333333,1.5555555555555556,1.4444444444444444,1
22.25,19.5,22.5,17.625,366.875,352.875,260.25,269.125,106.625,83.75,1.5,0.875,1
29.375,20.125,21.0,18.375,341.0,317.375,232.0,214.625,109.0,102.75,1.0,1.875,1
22.0,21.125,17.125,21.75,290.75,335.5,202.375,228.0,88.375,107.5,1.375,2.75,0
28.375,23.5,24.25,21.75,415.25,347.875,313.625,257.625,101.625,90.25,1.5,1.125,0
25.0,23.0,22.11111111111111,20.11111111111111,374.0,324.6666666666667,255.0,218.44444444444446,119.0,106.22222222222223,1.4444444444444444,1.1111111111111112,0
29.375,12.75,22.0,13.25,390.25,241.0,219.125,138.125,171.125,102.875,1.5,2.0,1
23.0,26.555555555555557,21.333333333333332,20.666666666666668,354.55555555555554,351.6666666666667,219.88888888888889,248.88888888888889,134.66666666666666,102.77777777777777,2.0,0.5555555555555556,0
34.25,30.375,24.125,27.75,415.0,455.75,298.125,362.125,116.875,93.625,1.375,1.75,1
27.555555555555557,25.555555555555557,23.0,21.333333333333332,395.0,380.77777777777777,263.3333333333333,278.1111111111111,131.66666666666666,102.66666666666667,1.0,1.7777777777777777,1
23.5,19.5,18.875,20.5,339.875,333.25,202.75,218.5,137.125,114.75,0.875,2.0,1
27.77777777777778,22.555555555555557,21.333333333333332,19.0,349.0,312.8888888888889,256.8888888888889,235.0,92.11111111111111,77.88888888888889,1.2222222222222223,1.7777777777777777,1
28.75,31.5,22.75,22.375,376.625,371.625,277.375,293.5,99.25,78.125,2.25,1.625,0
28.625,34.375,25.5,23.25,446.75,414.25,356.625,307.125,90.125,107.125,2.625,0.75,0
29.0,25.125,22.625,23.875,384.625,394.125,237.0,275.0,147.625,119.125,0.5,1.75,1
18.666666666666668,18.333333333333332,18.88888888888889,19.333333333333332,313.6666666666667,339.44444444444446,212.88888888888889,236.33333333333334,100.77777777777777,103.11111111111111,1.0,1.5555555555555556,1
16.75,17.625,17.5,18.625,288.25,333.5,178.25,226.25,110.0,107.25,1.25,1.125,0
19.125,23.5,19.25,18.5,306.375,314.25,214.125,185.625,92.25,128.625,1.875,1.125,1
12.0,24.333333333333332,14.11111111111111,21.444444444444443,259.1111111111111,366.1111111111111,169.66666666666666,230.11111111111111,89.44444444444444,136.0,1.5555555555555556,1.2222222222222223,0
20.0,21.5,20.125,19.875,343.875,343.5,222.0,254.125,121.875,89.375,0.875,1.75,0
24.125,19.0,23.5,18.375,396.375,291.875,258.625,197.125,137.75,94.75,1.5,1.25,1
26.75,21.75,21.75,20.75,384.5,338.25,287.25,241.375,97.25,96.875,1.5,1.5,0
33.22222222222222,22.22222222222222,25.0,19.11111111111111,447.1111111111111,348.6666666666667,302.77777777777777,243.33333333333334,144.33333333333334,105.33333333333333,0.7777777777777778,1.5555555555555556,1
